"","Geography","Geographic Area Name","Total population","Total population: Under 5 years","Total population: 5 to 9 years","Total population: 10 to 14 years","Total population: 15 to 19 years","Total population: 20 to 24 years","Total population: 25 to 29 years","Total population: 30 to 34 years","Total population: 35 to 39 years","Total population: 40 to 44 years","Total population: 45 to 49 years","Total population: 50 to 54 years","Total population: 55 to 59 years","Total population: 60 to 64 years","Total population: 65 to 69 years","Total population: 70 to 74 years","Total population: 75 to 79 years","Total population: 80 to 84 years","Total population: 85 years and over","Male","Male: Under 5 years","Male: 5 to 9 years","Male: 10 to 14 years","Male: 15 to 19 years","Male: 20 to 24 years","Male: 25 to 29 years","Male: 30 to 34 years","Male: 35 to 39 years","Male: 40 to 44 years","Male: 45 to 49 years","Male: 50 to 54 years","Male: 55 to 59 years","Male: 60 to 64 years","Male: 65 to 69 years","Male: 70 to 74 years","Male: 75 to 79 years","Male: 80 to 84 years","Male: 85 years and over","Female","Female: Under 5 years","Female: 5 to 9 years","Female: 10 to 14 years","Female: 15 to 19 years","Female: 20 to 24 years","Female: 25 to 29 years","Female: 30 to 34 years","Female: 35 to 39 years","Female: 40 to 44 years","Female: 45 to 49 years","Female: 50 to 54 years","Female: 55 to 59 years","Female: 60 to 64 years","Female: 65 to 69 years","Female: 70 to 74 years","Female: 75 to 79 years","Female: 80 to 84 years","Female: 85 years and over"
"1","0500000US06001","Alameda County, California","1648556","88016","91575","95952","95487","89838","115618","143781","139723","121234","111042","108383","102653","99204","79002","69229","42672","25545","29602","816792","44662","46548","49742","48382","44812","58004","72203","71275","60895","55706","54865","49833","49937","38088","30890","17742","10944","12264","831764","43354","45027","46210","47105","45026","57614","71578","68448","60339","55336","53518","52820","49267","40914","38339","24930","14601","17338"
"2","0500000US06007","Butte County, California","208309","10910","11370","12623","16972","20154","13880","12825","12716","12722","10175","10647","14755","10300","11588","12101","7422","3993","3156","103229","5124","5783","6717","8643","9406","7529","6557","6766","6568","5165","5481","6854","5244","5057","6119","2822","2159","1235","105080","5786","5587","5906","8329","10748","6351","6268","5950","6154","5010","5166","7901","5056","6531","5982","4600","1834","1921"
"3","0500000US06013","Contra Costa County, California","1161413","61458","66656","80618","75261","65345","68537","75001","81772","80841","77314","80627","78870","75095","61104","54384","37585","21897","19048","570719","31081","32812","42433","38739","33026","34669","37110","41176","39289","38119","40358","39191","36231","28644","24910","16225","10144","6562","590694","30377","33844","38185","36522","32319","33868","37891","40596","41552","39195","40269","39679","38864","32460","29474","21360","11753","12486"
"4","0500000US06017","El Dorado County, California","193221","9026","8829","14140","9734","9554","7741","11612","12806","11721","10578","12896","16070","15106","15986","11705","7379","3615","4723","96068","4295","4050","6965","5284","5343","4128","5215","6631","6127","5400","6279","8652","6502","7947","5939","3707","1229","2375","97153","4731","4779","7175","4450","4211","3613","6397","6175","5594","5178","6617","7418","8604","8039","5766","3672","2386","2348"
"5","0500000US06019","Fresno County, California","1013581","71998","79902","84738","77051","69163","74784","77348","71435","63999","55542","55065","54788","50048","43324","34722","22139","14428","13107","508152","36859","43408","41060","38384","35309","38286","39302","37222","32179","28108","28103","27954","24031","21023","16071","9898","6846","4109","505429","35139","36494","43678","38667","33854","36498","38046","34213","31820","27434","26962","26834","26017","22301","18651","12241","7582","8998"
"6","0500000US06023","Humboldt County, California","136310","5798","6136","9430","10115","10775","9256","7878","8971","8691","8377","8218","8173","7894","9081","8524","4368","1739","2886","67427","2453","3075","4984","4697","5089","5146","3909","4912","4691","4482","3761","3739","4113","3951","4506","1672","823","1424","68883","3345","3061","4446","5418","5686","4110","3969","4059","4000","3895","4457","4434","3781","5130","4018","2696","916","1462"
"7","0500000US06025","Imperial County, California","179851","12618","12288","17650","13470","12470","12665","13517","11233","11744","9259","10516","7180","10716","9019","5969","3037","2355","4145","93348","6477","6747","8631","7178","6984","7016","7433","6366","5929","4867","5716","3136","5757","4148","2937","1213","1282","1531","86503","6141","5541","9019","6292","5486","5649","6084","4867","5815","4392","4800","4044","4959","4871","3032","1824","1073","2614"
"8","0500000US06029","Kern County, California","917673","65712","72563","79677","72334","64671","68859","70527","61950","61096","51926","48990","45970","48728","35863","30626","18111","9561","10509","471707","33770","37443","40216","36909","34756","36927","37543","35194","30651","27002","24853","24553","23024","16562","15756","8726","4040","3782","445966","31942","35120","39461","35425","29915","31932","32984","26756","30445","24924","24137","21417","25704","19301","14870","9385","5521","6727"
"9","0500000US06031","Kings County, California","153443","10845","9762","13707","10746","12015","13558","12949","12393","10547","8178","7745","7301","7301","5228","4486","2587","2341","1754","85187","4887","5470","6794","5585","7157","8723","7635","6905","6564","4782","4524","3831","4339","2926","2225","1249","531","1060","68256","5958","4292","6913","5161","4858","4835","5314","5488","3983","3396","3221","3470","2962","2302","2261","1338","1810","694"
"10","0500000US06033","Lake County, California","68766","3624","4728","3541","2962","4632","2938","4269","5046","3784","2587","3865","4807","5355","5076","4899","2780","1697","2176","34421","1935","1951","2284","1561","2531","1525","2220","2634","2243","885","1748","2509","2622","1872","2660","1320","939","982","34345","1689","2777","1257","1401","2101","1413","2049","2412","1541","1702","2117","2298","2733","3204","2239","1460","758","1194"
"11","0500000US06037","Los Angeles County, California","9829544","519773","555764","628042","610692","631577","757682","801641","709003","669503","637099","657851","627057","587341","474636","376699","247116","168814","169254","4870908","265425","281170","327117","310452","317472","381167","409298","366266","334981","317109","329808","312322","284707","224539","170500","105943","71462","61170","4958636","254348","274594","300925","300240","314105","376515","392343","342737","334522","319990","328043","314735","302634","250097","206199","141173","97352","108084"
"12","0500000US06039","Madera County, California","159410","11123","10893","14214","11961","10552","9869","10733","9957","11258","9213","8468","8365","9090","8008","7166","4011","1943","2586","78590","6040","6394","6356","6585","4803","4748","5063","4351","5704","4432","4402","4436","4089","4425","3043","2300","944","475","80820","5083","4499","7858","5376","5749","5121","5670","5606","5554","4781","4066","3929","5001","3583","4123","1711","999","2111"
"13","0500000US06041","Marin County, California","260206","11253","15032","13432","16238","11504","10657","12642","14922","16319","17789","20104","21129","17604","19176","16151","11592","7369","7293","128146","5937","8134","6236","8015","6538","5458","7046","6699","9247","8613","9858","9809","8717","9344","7306","5278","3154","2757","132060","5316","6898","7196","8223","4966","5199","5596","8223","7072","9176","10246","11320","8887","9832","8845","6314","4215","4536"
"14","0500000US06045","Mendocino County, California","91305","4812","5858","5465","5758","3740","4993","5381","8139","3732","4851","4672","6424","5742","6627","7615","4128","2096","1272","44751","1828","3124","2477","3086","1754","2878","2228","5050","1450","2679","2107","2980","3068","3229","3445","1923","1099","346","46554","2984","2734","2988","2672","1986","2115","3153","3089","2282","2172","2565","3444","2674","3398","4170","2205","997","926"
"15","0500000US06047","Merced County, California","286461","20490","24089","23847","25573","21468","20487","20530","20483","16905","15840","15125","14369","13637","11745","8626","4902","4159","4186","145221","10119","11983","12709","13216","11543","10418","10466","10184","9248","8054","7477","7191","6947","5565","4279","2249","1981","1592","141240","10371","12106","11138","12357","9925","10069","10064","10299","7657","7786","7648","7178","6690","6180","4347","2653","2178","2594"
"16","0500000US06053","Monterey County, California","437325","28487","30994","33616","33834","28444","29676","31264","28200","30279","25295","25481","23240","25151","21148","17239","10207","7460","7310","222499","14060","15945","16719","17148","14492","15810","17143","14576","16129","13508","13524","11863","12371","9655","8850","4519","3771","2416","214826","14427","15049","16897","16686","13952","13866","14121","13624","14150","11787","11957","11377","12780","11493","8389","5688","3689","4894"
"17","0500000US06055","Napa County, California","136207","6348","6819","8255","8794","8365","7703","8207","8427","9604","8507","9201","9729","8500","8464","7508","4644","3308","3824","68202","3140","3767","3899","4887","4118","4104","4234","4259","4918","4296","4672","4473","4493","3986","3679","2366","1412","1499","68005","3208","3052","4356","3907","4247","3599","3973","4168","4686","4211","4529","5256","4007","4478","3829","2278","1896","2325"
"18","0500000US06057","Nevada County, California","103487","3766","4945","5657","4746","4007","4715","5161","4890","7358","6226","6384","7067","9668","9613","8266","5072","3564","2382","50917","1978","2435","3272","2303","1730","2641","2716","2147","4107","2674","3525","3544","4394","4315","4174","1772","2296","894","52570","1788","2510","2385","2443","2277","2074","2445","2743","3251","3552","2859","3523","5274","5298","4092","3300","1268","1488"
"19","0500000US06059","Orange County, California","3167809","172756","180665","202037","202800","197094","223932","226323","208133","209395","205509","223891","221474","195394","161737","128573","87980","58250","61866","1571063","88838","90884","105165","102971","99499","113759","115495","106836","104061","100685","111079","110472","96891","75747","60432","39955","25157","23137","1596746","83918","89781","96872","99829","97595","110173","110828","101297","105334","104824","112812","111002","98503","85990","68141","48025","33093","38729"
"20","0500000US06061","Placer County, California","412300","20316","26092","27404","26416","20336","20984","23602","27738","28378","25929","27900","29414","24761","23611","24553","13716","10185","10965","203013","10483","13155","14419","13686","10354","10885","11793","14046","13895","13062","13771","14236","11866","11374","11330","5965","4307","4386","209287","9833","12937","12985","12730","9982","10099","11809","13692","14483","12867","14129","15178","12895","12237","13223","7751","5878","6579"
"21","0500000US06065","Riverside County, California","2458395","145558","165065","183620","179166","161555","168886","172774","169160","161026","148555","151124","144771","141795","116962","97393","71084","42176","37725","1234094","74504","87850","90674","90778","82317","86494","88568","86082","82144","74535","76672","73897","70621","55115","47199","33662","19250","13732","1224301","71054","77215","92946","88388","79238","82392","84206","83078","78882","74020","74452","70874","71174","61847","50194","37422","22926","23993"
"22","0500000US06067","Sacramento County, California","1588921","95773","95480","114372","100360","94129","116329","128009","116009","109679","96203","97463","96909","94089","77172","66865","37535","27268","25277","782930","49656","49298","58221","51273","47571","58424","64261","56927","56312","47741","47880","48804","43422","34420","31494","17181","11430","8615","805991","46117","46182","56151","49087","46558","57905","63748","59082","53367","48462","49583","48105","50667","42752","35371","20354","15838","16662"
"23","0500000US06069","San Benito County, California","66677","4169","5179","5249","4198","4014","4858","5046","4935","4036","4382","3954","4140","3743","3026","2412","863","1353","1120","33422","1425","2869","2431","2514","2222","2446","2727","2227","2121","2494","1911","2107","1974","1347","1250","322","610","425","33255","2744","2310","2818","1684","1792","2412","2319","2708","1915","1888","2043","2033","1769","1679","1162","541","743","695"
"24","0500000US06071","San Bernardino County, California","2194710","143672","153289","172862","160629","156199","166975","168869","151760","145016","131288","131569","124285","122459","95700","72631","44335","26639","26533","1098410","73125","76967","90081","83346","81333","85232","85709","78506","71905","65022","66058","60766","60095","45495","33501","20886","10632","9751","1096300","70547","76322","82781","77283","74866","81743","83160","73254","73111","66266","65511","63519","62364","50205","39130","23449","16007","16782"
"25","0500000US06073","San Diego County, California","3286069","187284","195859","197649","206574","232801","256588","270709","243339","221197","197296","199836","197412","190403","161099","132429","85129","58582","51883","1664717","96002","99788","101990","107764","128838","135034","140623","126136","114711","99520","100567","97184","95178","75476","63358","37592","24444","20512","1621352","91282","96071","95659","98810","103963","121554","130086","117203","106486","97776","99269","100228","95225","85623","69071","47537","34138","31371"
"26","0500000US06075","San Francisco County, California","815201","34832","30051","31396","30564","40478","74160","90296","69455","63152","53527","55068","53354","46386","41029","40779","22096","17253","21325","417313","18170","15870","15781","14386","20305","37551","47801","37856","32753","28579","29799","28941","23923","19802","20102","11312","7266","7116","397888","16662","14181","15615","16178","20173","36609","42495","31599","30399","24948","25269","24413","22463","21227","20677","10784","9987","14209"
"27","0500000US06077","San Joaquin County, California","789410","52230","52695","68620","59037","52197","54000","56341","56450","51930","47132","46897","41979","45749","32888","30526","19562","11324","9853","396171","26535","28993","33415","30637","26992","27559","28945","28960","26496","23764","23522","21498","22254","14382","15144","8765","4541","3769","393239","25695","23702","35205","28400","25205","26441","27396","27490","25434","23368","23375","20481","23495","18506","15382","10797","6783","6084"
"28","0500000US06079","San Luis Obispo County, California","283159","12376","12227","15918","22425","28725","15904","15642","17621","16469","12526","16090","15770","20584","20370","16342","11458","5481","7231","142645","6130","5177","9226","10551","16335","8259","8307","10496","8388","5982","8399","7174","10066","9974","7390","5468","2443","2880","140514","6246","7050","6692","11874","12390","7645","7335","7125","8081","6544","7691","8596","10518","10396","8952","5990","3038","4351"
"29","0500000US06081","San Mateo County, California","737888","37898","41940","40834","40568","36930","48423","56847","55650","52182","49047","51054","50914","46428","40842","34006","22202","15482","16641","367402","19382","20418","22176","21274","18866","25118","29655","29588","25591","24499","25377","24338","23523","20038","14951","8938","6775","6895","370486","18516","21522","18658","19294","18064","23305","27192","26062","26591","24548","25677","26576","22905","20804","19055","13264","8707","9746"
"30","0500000US06083","Santa Barbara County, California","446475","26725","26321","28704","41108","43042","32175","27658","27237","24649","23803","23805","24483","25302","22268","18583","12592","8449","9571","224964","13715","14093","14249","19102","23261","16938","14544","13488","13759","12207","12055","12166","12412","10958","8707","5744","3573","3993","221511","13010","12228","14455","22006","19781","15237","13114","13749","10890","11596","11750","12317","12890","11310","9876","6848","4876","5578"
"31","0500000US06085","Santa Clara County, California","1885508","100945","103344","122010","117260","110196","141448","155616","147440","127597","127639","127969","126199","104673","88931","67501","49234","31615","35891","963131","53361","52907","63245","60295","57273","76114","83945","76918","66687","64967","65103","63822","54050","41478","33026","20374","15008","14558","922377","47584","50437","58765","56965","52923","65334","71671","70522","60910","62672","62866","62377","50623","47453","34475","28860","16607","21333"
"32","0500000US06087","Santa Cruz County, California","267792","11715","13203","15612","22543","25317","16619","15296","15949","16168","15590","16271","16518","17884","17340","14085","6525","6023","5134","133339","5903","7095","7815","10818","12618","8506","7902","8322","7799","8041","8523","7704","9216","8766","6664","2954","2651","2042","134453","5812","6108","7797","11725","12699","8113","7394","7627","8369","7549","7748","8814","8668","8574","7421","3571","3372","3092"
"33","0500000US06089","Shasta County, California","182139","9625","10064","13514","10685","9512","10386","11656","10969","11665","9295","11144","12485","12937","11304","11264","6428","4698","4508","89509","5445","5085","6707","5600","4576","5417","5595","5684","6067","4593","5135","5974","6036","4692","5977","3166","1820","1940","92630","4180","4979","6807","5085","4936","4969","6061","5285","5598","4702","6009","6511","6901","6612","5287","3262","2878","2568"
"34","0500000US06095","Solano County, California","451716","25483","26368","30356","26470","27955","30486","33460","33730","28104","26338","27643","30321","28586","26644","20826","13735","9528","5683","225948","13105","14123","14796","13128","15015","15777","17320","17099","14965","13618","14049","15455","13428","11685","10363","5746","4235","2041","225768","12378","12245","15560","13342","12940","14709","16140","16631","13139","12720","13594","14866","15158","14959","10463","7989","5293","3642"
"35","0500000US06097","Sonoma County, California","485887","22211","23267","29745","29379","26722","28604","31064","32547","32559","28014","31379","32264","35732","31327","31722","16503","11584","11264","238756","11353","12663","14297","14913","13675","14775","15783","16989","15973","14256","15363","16133","16620","14917","14458","7592","5092","3904","247131","10858","10604","15448","14466","13047","13829","15281","15558","16586","13758","16016","16131","19112","16410","17264","8911","6492","7360"
"36","0500000US06099","Stanislaus County, California","552999","37440","39158","46281","41719","35454","38102","41502","40802","31930","32383","32253","33911","27256","25311","20741","12740","7952","8064","276980","19094","20420","23615","21873","18576","19397","20454","22304","14585","16214","16638","17357","13028","12597","8986","5313","3042","3487","276019","18346","18738","22666","19846","16878","18705","21048","18498","17345","16169","15615","16554","14228","12714","11755","7427","4910","4577"
"37","0500000US06101","Sutter County, California","99063","6054","7933","6158","6235","6913","6622","6630","8138","4913","6164","5332","5610","6379","5100","4801","2954","1626","1501","50826","3064","4151","3140","4011","3647","3690","3360","4159","2551","3075","2704","2877","3084","2343","2372","1371","679","548","48237","2990","3782","3018","2224","3266","2932","3270","3979","2362","3089","2628","2733","3295","2757","2429","1583","947","953"
"38","0500000US06103","Tehama County, California","65498","2640","4492","5724","4575","4230","3737","3386","3668","3347","4242","3105","3315","5243","4461","4118","2582","1189","1444","33152","1355","2536","3190","2578","1915","2014","1916","2257","1096","2251","1591","1685","2333","2198","1970","971","507","789","32346","1285","1956","2534","1997","2315","1723","1470","1411","2251","1991","1514","1630","2910","2263","2148","1611","682","655"
"39","0500000US06107","Tulare County, California","477054","34283","38385","45270","41063","33662","33477","33460","31133","31166","26601","25737","24991","22174","20542","13723","9303","6773","5311","240240","17793","21562","21946","20655","17144","16994","16874","16490","15106","13862","12998","12579","10712","9469","6914","4703","2444","1995","236814","16490","16823","23324","20408","16518","16483","16586","14643","16060","12739","12739","12412","11462","11073","6809","4600","4329","3316"
"40","0500000US06111","Ventura County, California","839784","44248","52395","55355","55844","52748","56465","56117","56662","50592","51595","55845","54975","56522","46270","37160","24390","16434","16167","418376","22562","26227","28978","28238","26830","28823","28882","29546","25346","25433","28021","26414","28722","22814","17083","10941","6949","6567","421408","21686","26168","26377","27606","25918","27642","27235","27116","25246","26162","27824","28561","27800","23456","20077","13449","9485","9600"
"41","0500000US06113","Yolo County, California","216986","11343","12369","12377","21578","29486","15298","13187","12921","14004","11470","12106","11977","9978","9982","7710","4865","2507","3828","105609","5713","6250","6401","10085","13900","7610","6665","6530","7058","5850","6047","5726","5033","4864","3179","2113","1012","1573","111377","5630","6119","5976","11493","15586","7688","6522","6391","6946","5620","6059","6251","4945","5118","4531","2752","1495","2255"
"42","0500000US06115","Yuba County, California","83421","6160","5741","7588","5562","5675","6005","6066","5609","6278","4494","4578","3188","5414","4401","2381","1924","1455","902","41750","2794","3042","4025","2561","3017","3033","3180","2986","2601","2678","2411","1813","2684","1995","1232","672","601","425","41671","3366","2699","3563","3001","2658","2972","2886","2623","3677","1816","2167","1375","2730","2406","1149","1252","854","477"
