"","year","county","fips","state","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold_2","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_annual_food_budget_shortfall","compare_group","latitude.x","longitude.x","labor_force_avg","employment_avg","unemployment_avg","unemployment_rate_avg","avg_snap_benefit","avg_snap_benefit_per_meal","snap_meal_cost_diff","population","all_returns","agi","median_income","median_rank","joint_returns","joint_returns_median_income","joint_returns_median_rank","tax_assessed","latitude.y","longitude.y","new_georeferenced_column"
"1",2010,"Alameda County",6001,"CA",16.4,242460,"130.0%","SNAP","185.0%","Other Nutrition Program","39.6%","12.9%","47.5%","NA","20.8%","69600","57%","43%",2.82,"$117,691,430","1",37.6448737628,-121.882288836,782658.333333333,695350,87333.3333333333,0.111416666666667,146.46,1.61,1.21,1513493,658190,47585985000,41936,8,259015,85691,5,2242154000,37.72022591,-122.1643521,"POINT (-122.1643521 37.72022591)"
"2",2010,"Alpine County",6003,"CA",19.3,230,"130.0%","SNAP","185.0%","Other Nutrition Program","35.7%","15.4%","48.8%","NA","25.3%","60","59%","41%",2.55,"$100,950","1",38.5979709975,-119.820210752,542.5,469.166666666667,70.8333333333333,0.135583333333333,146.46,1.61,0.94,1147,300,16369000,37999,11,149,63666,20,579000,38.58842891,-119.7124417,"POINT (-119.7124417 38.58842891)"
"3",2010,"Amador County",6005,"CA",16.5,6310,"130.0%","SNAP","185.0%","Other Nutrition Program","27.0%","15.8%","57.2%","NA","21.7%","1390","47%","53%",3.09,"$3,356,170","1",38.4461173773,-120.65157196,15524.1666666667,13292.5,2233.33333333333,0.143666666666667,146.46,1.61,1.48,37907,14449,735684000,35819,15,7353,57151,26,24320000,38.47216216,-120.5741948,"POINT (-120.5741948 38.47216216)"
"4",2010,"Butte County",6007,"CA",19.4,42420,"130.0%","SNAP","185.0%","Other Nutrition Program","53.9%","18.0%","28.1%","NA","27.3%","12460","70%","30%",2.59,"$18,911,500","1",39.6670113073,-121.600718282,102716.666666667,88091.6666666667,14625,0.14225,146.46,1.61,0.98,220024,78949,3583586000,28709,44,33712,52849,37,123489000,39.59127291,-121.6728818,"POINT (-121.6728818 39.59127291)"
"5",2010,"Calaveras County",6009,"CA",18,8290,"130.0%","SNAP","185.0%","Other Nutrition Program","31.9%","16.8%","51.3%","NA","24.2%","2150","47%","53%",3.23,"$4,609,060","1",38.2050147927,-120.553756737,21045,17930.8333333333,3113.33333333333,0.148,146.46,1.61,1.62,45258,17662,859268000,34171,22,9257,55370,29,28899000,38.25462698,-120.4657376,"POINT (-120.4657376 38.25462698)"
"6",2010,"Colusa County",6011,"CA",20.7,4390,"130.0%","SNAP","185.0%","Other Nutrition Program","51.8%","28.1%","20.1%","NA","34.7%","2110","71%","29%",3.6,"$2,720,340","1",39.1775362451,-122.237100273,11560.8333333333,9095.83333333333,2465,0.213333333333333,146.46,1.61,1.99,21452,8775,408701000,28051,46,4083,42913,53,16224000,39.16798125,-122.2990667,"POINT (-122.2990667 39.16798125)"
"7",2010,"Contra Costa County",6013,"CA",15.1,155020,"130.0%","SNAP","185.0%","Other Nutrition Program","34.0%","13.0%","53.0%","NA","20.2%","51720","51%","50%",2.77,"$73,913,390","1",37.9155346665,-121.927176832,525741.666666667,466716.666666667,59008.3333333333,0.112166666666667,146.46,1.61,1.16,1052192,431121,35126855000,44492,4,183511,86997,4,1783890000,37.98817952,-121.9371402,"POINT (-121.9371402 37.98817952)"
"8",2010,"Del Norte County",6015,"CA",20,5700,"130.0%","SNAP","185.0%","Other Nutrition Program","54.4%","11.7%","34.0%","NA","30.4%","1870","75%","25%",2.82,"$2,766,810","1",41.7434380162,-123.896950371,10944.1666666667,9465,1480.83333333333,0.135083333333333,146.46,1.61,1.21,28577,8076,338089000,30033,35,3684,52879,36,10202000,41.70557047,-123.8920045,"POINT (-123.8920045 41.70557047)"
"9",2010,"El Dorado County",6017,"CA",15.6,27850,"130.0%","SNAP","185.0%","Other Nutrition Program","28.5%","13.5%","58.0%","NA","21.5%","8970","43%","57%",3.29,"$15,771,640","1",38.7787541226,-120.525262109,91200,79800,11408.3333333333,0.125,146.46,1.61,1.68,181183,67923,4870946000,43180,5,35646,77471,6,205474000,38.76394197,-120.6060593,"POINT (-120.6060593 38.76394197)"
"10",2010,"Fresno County",6019,"CA",20.8,189430,"130.0%","SNAP","185.0%","Other Nutrition Program","59.2%","23.6%","17.2%","NA","33.7%","91070","73%","27%",2.37,"$77,277,440","1",36.7583709705,-119.651022678,440575,365283.333333333,75283.3333333333,0.171083333333333,146.46,1.61,0.76,933075,320203,14464550000,26950,52,125271,51160,42,489229000,36.81276025,-119.6826941,"POINT (-119.6826941 36.81276025)"
