"","county","year","fips","state","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold_2","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_annual_food_budget_shortfall","compare_group","latitude","longitude","labor_force_avg","employment_avg","unemployment_avg","unemployment_rate_avg","avg_snap_benefit","avg_snap_benefit_per_meal","snap_meal_cost_diff"
"1","Alameda County",2010,6001,"CA",16.4,242460,"130.0%","SNAP","185.0%","Other Nutrition Program","39.6%","12.9%","47.5%","NA","20.8%","69600","57%","43%",2.82,"$117,691,430","1",37.6448737628,-121.882288836,782658.333333333,695350,87333.3333333333,0.111416666666667,146.46,1.61,1.21
"2","Alameda County",2011,6001,"CA",16.2,241860,"130%","SNAP","185%","Other Nutrition Program","39.5%","17.9%","42.6%","NA","20.0%","67780","57%","43%",3.02,"$119,078,060.00","1",37.6448737628,-121.882288836,785125,704591.666666667,80525,0.102583333333333,147.06,1.61,1.41
"3","Alameda County",2012,6001,"CA",15.6,235800,"130%","SNAP","185%","Other Nutrition Program","42.1%","16.3%","41.6%","NA","20.3%","69,070","57%","43%",3.09,"$127,672,000.00","1",37.6448737628,-121.882288836,796458.333333333,726133.333333333,70333.3333333333,0.08825,149.05,1.63,1.46
"4","Alameda County",2013,6001,"CA",15.3,235570,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.2%","0.0%","36.8%","NA","20.7%","70,680","60%","40%",3.4,"$141,835,000.00","1",37.6448737628,-121.882288836,799850,741225,58625,0.07325,151.44,1.66,1.74
"5","Alameda County",2014,6001,"CA",14.9,232040,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.4%",NA,"35.6%","NA","19.4%","66,520","59%","41%",3.41,"$139,752,000.00","1",37.6448737628,-121.882288836,806325,758808.333333333,47500,0.059,141.99,1.56,1.85
"6","Alameda County",2015,6001,"CA",14.3,226090,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.1%",NA,"35.9%","NA","17.7%","60,840","60%","40%",3.61,"$146,256,000.00","1",37.6448737628,-121.882288836,819016.666666667,779891.666666667,39108.3333333333,0.04775,142,1.56,2.05
"7","Alameda County",2016,6001,"CA",13.4,214370,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","62.7%",NA,"37.3%","NA","15.9%","54,840","59%","41%",3.72,"$136,279,000.00","1",37.6448737628,-121.882288836,831816.666666667,796025,35791.6666666667,0.04325,138.97,1.52,2.2
"8","Alameda County",2017,6001,"CA",12.2,198950,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","61.3%",NA,"38.7%","NA","15.2%","52,450","55%","45%",3.8,"$128,941,000.00","1",37.6448737628,-121.882288836,838183.333333333,807108.333333333,31075,0.037,136.44,1.5,2.3
"9","Alameda County",2018,6001,"CA",9.1,150140,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","61.0%",NA,"39.0%","NA","11.1%","38120","56%","44%",3.97,"$100,781,000.00","1",37.6448737628,-121.882288836,841566.666666667,815850,25733.3333333333,0.0305833333333333,136.22,1.49,2.48
"10","Alameda County",2019,6001,"CA",8.4,139810,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","56.8%",NA,"43.2%","43.2%","9.9%","34,040","56%","44%",4,"$95,592,000","2",37.6448737628,-121.882288836,843033.333333333,817991.666666667,25075,0.02975,141.13,1.55,2.45
"11","Alameda County",2020,6001,"CA",9.3,154830,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","55.6%",NA,"44.4%","44.4%","11.4%","39,050","57%","44%",4.25,"$105,872,000","2",37.6448737628,-121.882288836,819700,746483.333333333,73191.6666666667,0.0898333333333333,151.1,1.66,2.59
"12","Alameda County",2021,6001,"CA",8.1,134800,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.9%",NA,NA,"45.1%","8.7%","29,860","61%","39%",4.47,"$106,480,000","2",37.6448737628,-121.882288836,812966.666666667,763475,49500,0.0609166666666667,216.53,2.37,2.1
"13","Alpine County",2010,6003,"CA",19.3,230,"130.0%","SNAP","185.0%","Other Nutrition Program","35.7%","15.4%","48.8%","NA","25.3%","60","59%","41%",2.55,"$100,950","1",38.5979709975,-119.820210752,542.5,469.166666666667,70.8333333333333,0.135583333333333,146.46,1.61,0.94
"14","Alpine County",2011,6003,"CA",16.2,190,"130%","SNAP","185%","Other Nutrition Program","44.1%","19.6%","36.3%","NA","23.2%","70","52%","48%",3.01,"$93,240.00","1",38.5979709975,-119.820210752,591.666666666667,515.833333333333,75.8333333333333,0.13175,147.06,1.61,1.4
"15","Alpine County",2012,6003,"CA",15.3,180,"130%","SNAP","185%","Other Nutrition Program","47.1%","23.5%","29.4%","NA","19.5%","50","38%","62%",3.02,"$95,000.00","1",38.5979709975,-119.820210752,544.166666666667,482.5,60.8333333333333,0.114416666666667,149.05,1.63,1.39
"16","Alpine County",2013,6003,"CA",16.7,190,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","71.9%","0.0%","28.1%","NA","24.8%","60","43%","57%",3.21,"$108,000.00","1",38.5979709975,-119.820210752,523.333333333333,473.333333333333,50.8333333333333,0.0985,151.44,1.66,1.55
"17","Alpine County",2014,6003,"CA",15,180,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.4%",NA,"27.6%","NA","21.7%","50","43%","57%",3.31,"$105,000.00","1",38.5979709975,-119.820210752,509.166666666667,466.666666666667,41.6666666666667,0.0831666666666667,141.99,1.56,1.75
"18","Alpine County",2015,6003,"CA",16,180,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.9%",NA,"21.1%","NA","19.5%","50","41%","59%",3.41,"$110,000.00","1",38.5979709975,-119.820210752,550,508.333333333333,40.8333333333333,0.0741666666666667,142,1.56,1.85
"19","Alpine County",2016,6003,"CA",15.2,180,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.9%",NA,"31.1%","NA","19.0%","50","43%","57%",3.47,"$107,000.00","1",38.5979709975,-119.820210752,553.333333333333,519.166666666667,38.3333333333333,0.0656666666666667,138.97,1.52,1.95
"20","Alpine County",2017,6003,"CA",14.3,170,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.1%",NA,"31.9%","NA","19.1%","50","53%","47%",3.55,"$103,000.00","1",38.5979709975,-119.820210752,547.5,515,35.8333333333333,0.0629166666666667,136.44,1.5,2.05
"21","Alpine County",2018,6003,"CA",14.5,170,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.1%",NA,"23.9%","NA","20.3%","50","72%","28%",3.69,"$106,000.00","1",38.5979709975,-119.820210752,546.666666666667,524.166666666667,23.3333333333333,0.0466666666666667,136.22,1.49,2.2
"22","Alpine County",2019,6003,"CA",13.1,140,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","74.0%",NA,"26.0%","26.0%","19.4%","40","87%","13%",3.65,"$87,000","2",38.5979709975,-119.820210752,541.666666666667,514.166666666667,29.1666666666667,0.0531666666666667,141.13,1.55,2.1
"23","Alpine County",2020,6003,"CA",11.7,140,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.5%",NA,"23.5%","23.5%","15.0%","40","91%","9%",3.68,"$83,000","2",38.5979709975,-119.820210752,515,455,59.1666666666667,0.122416666666667,151.1,1.66,2.02
"24","Alpine County",2021,6003,"CA",10.1,140,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.3%",NA,NA,"19.7%","10.7%","30","91%","9%",3.98,"$98,000","2",38.5979709975,-119.820210752,514.166666666667,471.666666666667,44.1666666666667,0.0828333333333333,216.53,2.37,1.61
"25","Amador County",2010,6005,"CA",16.5,6310,"130.0%","SNAP","185.0%","Other Nutrition Program","27.0%","15.8%","57.2%","NA","21.7%","1390","47%","53%",3.09,"$3,356,170","1",38.4461173773,-120.65157196,15524.1666666667,13292.5,2233.33333333333,0.143666666666667,146.46,1.61,1.48
"26","Amador County",2011,6005,"CA",13.9,5320,"130%","SNAP","185%","Other Nutrition Program","30.8%","19.1%","50.2%","NA","22.3%","1440","58%","43%",3.41,"$2,957,510.00","1",38.4461173773,-120.65157196,15075,12989.1666666667,2087.5,0.138416666666667,147.06,1.61,1.8
"27","Amador County",2012,6005,"CA",14.5,5460,"130%","SNAP","185%","Other Nutrition Program","33.8%","19.2%","47.0%","NA","23.4%","1,480","60%","40%",3.55,"$3,396,000.00","1",38.4461173773,-120.65157196,14646.6666666667,12822.5,1822.5,0.124583333333333,149.05,1.63,1.92
"28","Amador County",2013,6005,"CA",15.4,5760,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.9%","0.0%","45.1%","NA","26.5%","1,610","60%","40%",3.7,"$3,768,000.00","1",38.4461173773,-120.65157196,14400.8333333333,12895.8333333333,1503.33333333333,0.104416666666667,151.44,1.66,2.04
"29","Amador County",2014,6005,"CA",14.7,5450,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","55.2%",NA,"44.8%","NA","25.4%","1,520","57%","43%",3.84,"$3,694,000.00","1",38.4461173773,-120.65157196,14322.5,13118.3333333333,1204.16666666667,0.0839166666666667,141.99,1.56,2.28
"30","Amador County",2015,6005,"CA",14,5180,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","55.5%",NA,"44.5%","NA","23.2%","1,330","66%","34%",3.99,"$3,708,000.00","1",38.4461173773,-120.65157196,14316.6666666667,13365,950.833333333333,0.0664166666666667,142,1.56,2.43
