"","fips","state","county","year","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold_2","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_annual_food_budget_shortfall","compare_group","latitude","longitude"
"1",6001,"CA","Alameda County",2021,"8.1%",134800,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.9%",NA,NA,"45.1%","8.7%","29,860","61%","39%","$4.47","$106,480,000","2",37.6448737628,-121.882288836
"2",6003,"CA","Alpine County",2021,"10.1%",140,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.3%",NA,NA,"19.7%","10.7%","30","91%","9%","$3.98","$98,000","2",38.5979709975,-119.820210752
"3",6005,"CA","Amador County",2021,"9.1%",3660,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","56.7%",NA,NA,"43.3%","11.4%","700","64%","36%","$4.52","$2,921,000","2",38.4461173773,-120.65157196
"4",6007,"CA","Butte County",2021,"12.6%",27550,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.3%",NA,NA,"16.7%","15.3%","6,760","73%","28%","$4.05","$19,704,000","2",39.6670113073,-121.600718282
"5",6009,"CA","Calaveras County",2021,"11.2%",5100,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","70.7%",NA,NA,"29.3%","16.2%","1,250","69%","31%","$4.43","$3,994,000","2",38.2050147927,-120.553756737
"6",6011,"CA","Colusa County",2021,"12.4%",2700,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.1%",NA,NA,"14.9%","18.1%","1,080","71%","29%","$3.64","$1,737,000","2",39.1775362451,-122.237100273
"7",6013,"CA","Contra Costa County",2021,"7.5%",87070,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","57.5%",NA,NA,"42.5%","9.5%","24,940","60%","40%","$4.45","$68,469,000","2",37.9155346665,-121.927176832
"8",6015,"CA","Del Norte County",2021,"13.4%",3700,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","75.1%",NA,NA,"24.9%","18.5%","1,110","80%","20%","$3.84","$2,508,000","2",41.7434380162,-123.896950371
"9",6017,"CA","El Dorado County",2021,"8.0%",15280,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","58.1%",NA,NA,"41.9%","8.5%","3,220","60%","40%","$4.79","$12,940,000","2",38.7787541226,-120.525262109
"10",6019,"CA","Fresno County",2021,"13.6%",136560,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.4%",NA,NA,"17.6%","19.0%","54,340","74%","26%","$3.60","$86,923,000","2",36.7583709705,-119.651022678
"11",6021,"CA","Glenn County",2021,"11.0%",3160,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","96.9%",NA,NA,"3.1%","14.1%","1,100","81%","19%","$3.54","$1,978,000","2",39.5983656482,-122.392092433
"12",6023,"CA","Humboldt County",2021,"13.9%",19050,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.3%",NA,NA,"14.7%","16.0%","4,210","79%","21%","$4.56","$15,345,000","2",40.6986310325,-123.873713677
"13",6025,"CA","Imperial County",2021,"17.0%",30630,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.6%",NA,NA,"15.4%","24.5%","12,710","69%","31%","$3.15","$17,064,000","2",33.0396666316,-115.365267034
"14",6027,"CA","Inyo County",2021,"10.2%",1920,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","67.0%",NA,NA,"33.0%","11.8%","470","54%","46%","$3.62","$1,227,000","2",36.5112075686,-117.410731439
"15",6029,"CA","Kern County",2021,"13.0%",117710,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.4%",NA,NA,"15.6%","18.2%","47,970","79%","21%","$3.57","$74,173,000","2",35.3428386484,-118.729938045
"16",6031,"CA","Kings County",2021,"12.1%",18370,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.8%",NA,NA,"19.2%","17.8%","7,360","77%","23%","$3.56","$11,557,000","2",36.075306112,-119.815547843
"17",6033,"CA","Lake County",2021,"13.4%",9070,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.5%",NA,NA,"16.5%","18.2%","2,640","74%","26%","$4.40","$7,049,000","2",39.0996074075,-122.753384296
"18",6035,"CA","Lassen County",2021,"10.4%",3410,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.1%",NA,NA,"39.9%","14.4%","780","88%","12%","$4.21","$2,536,000","2",40.6735197906,-120.594276729
"19",6037,"CA","Los Angeles County",2021,"11.3%",1132600,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.6%",NA,NA,"27.4%","15.5%","336,120","69%","32%","$3.88","$775,530,000","2",34.3615935047,-118.216981811
"20",6039,"CA","Madera County",2021,"12.4%",19340,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.9%",NA,NA,"19.1%","17.9%","7,750","74%","26%","$4.22","$14,411,000","2",37.21816377,-119.762685404
"21",6041,"CA","Marin County",2021,"6.9%",18160,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","50.9%",NA,NA,"49.1%","3.7%","1,960","100%","0%","$5.26","$16,867,000","2",38.0728900672,-122.71915116
"22",6043,"CA","Mariposa County",2021,"12.3%",2110,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.1%",NA,NA,"14.9%","17.8%","520","62%","38%","$4.22","$1,572,000","2",37.5813163577,-119.906074042
