"state","year","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","food_insecurity_rate_among_black_persons_all_ethnicities","food_insecurity_rate_among_hispanic_persons_any_race","food_insecurity_rate_among_white_non_hispanic_persons","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_o_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_weekly_needed_by_fi","weighted_annual_food_budget_shortfall","county"
" California",2021,"8.1%",134800,"18%","11%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.9%",NA,NA,"45.1%","8.7%","29,860","61%","39%","$4.47","$26.04","$106,480,000","Alameda County"
" California",2021,"10.1%",140,NA,NA,"6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.3%",NA,NA,"19.7%","10.7%","30","91%","9%","$3.98","$23.16","$98,000","Alameda County"
" California",2021,"9.1%",3660,NA,"12%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","56.7%",NA,NA,"43.3%","11.4%","700","64%","36%","$4.52","$26.31","$2,921,000","Alameda County"
" California",2021,"12.6%",27550,"30%","17%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.3%",NA,NA,"16.7%","15.3%","6,760","73%","28%","$4.05","$23.58","$19,704,000","Alameda County"
" California",2021,"11.2%",5100,NA,"15%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","70.7%",NA,NA,"29.3%","16.2%","1,250","69%","31%","$4.43","$25.82","$3,994,000","Alameda County"
" California",2021,"12.4%",2700,NA,"12%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.1%",NA,NA,"14.9%","18.1%","1,080","71%","29%","$3.64","$21.21","$1,737,000","Alameda County"
" California",2021,"7.5%",87070,"14%","11%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","57.5%",NA,NA,"42.5%","9.5%","24,940","60%","40%","$4.45","$25.92","$68,469,000","Alameda County"
" California",2021,"13.4%",3700,NA,"16%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","75.1%",NA,NA,"24.9%","18.5%","1,110","80%","20%","$3.84","$22.34","$2,508,000","Alameda County"
" California",2021,"8.0%",15280,"15%","12%","4%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","58.1%",NA,NA,"41.9%","8.5%","3,220","60%","40%","$4.79","$27.92","$12,940,000","Alameda County"
" California",2021,"13.6%",136560,"24%","17%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","82.4%",NA,NA,"17.6%","19.0%","54,340","74%","26%","$3.60","$20.98","$86,923,000","Alameda County"
" California",2021,"11.0%",3160,NA,"14%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","96.9%",NA,NA,"3.1%","14.1%","1,100","81%","19%","$3.54","$20.64","$1,978,000","Alameda County"
" California",2021,"13.9%",19050,"30%","18%","11%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.3%",NA,NA,"14.7%","16.0%","4,210","79%","21%","$4.56","$26.56","$15,345,000","Alameda County"
" California",2021,"17.0%",30630,NA,"18%","8%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.6%",NA,NA,"15.4%","24.5%","12,710","69%","31%","$3.15","$18.37","$17,064,000","Alameda County"
" California",2021,"10.2%",1920,NA,"13%","6%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","67.0%",NA,NA,"33.0%","11.8%","470","54%","46%","$3.62","$21.07","$1,227,000","Alameda County"
" California",2021,"13.0%",117710,"25%","15%","9%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.4%",NA,NA,"15.6%","18.2%","47,970","79%","21%","$3.57","$20.77","$74,173,000","Alameda County"
" California",2021,"12.1%",18370,"20%","16%","7%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.8%",NA,NA,"19.2%","17.8%","7,360","77%","23%","$3.56","$20.74","$11,557,000","Alameda County"
" California",2021,"13.4%",9070,"21%","16%","10%","200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.5%",NA,NA,"16.5%","18.2%","2,640","74%","26%","$4.40","$25.62","$7,049,000","Alameda County"
