"","Households","    With one or more people in the household 60 years and over","    No people in the household 60 years and over","    HOUSEHOLD TYPE","    Married-couple family","    Other family:","        Male householder, no spouse present","        Female householder, no spouse present","    Nonfamily households","    With children under 18 years","        Married-couple family","        Other family:","            Male householder, no spouse present","            Female householder, no spouse present","        Nonfamily households","    No children under 18 years","        Married-couple family","        Other family:","            Male householder, no spouse present","            Female householder, no spouse present","        Nonfamily households","    POVERTY STATUS IN THE PAST 12 MONTHS","        Below poverty level","        At or above  poverty level","    DISABILITY STATUS","        With one or more people with a disability","        With no persons with a disability","    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","        White alone","        Black or African American alone","        American Indian and Alaska Native alone","        Asian alone","        Native Hawaiian and Other Pacific Islander alone","        Some other race alone","        Two or more races","        Hispanic or Latino origin (of any race)","        White alone, not Hispanic or Latino","    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","        Median income (dollars)","WORK STATUS","    Families","        No workers in past 12 months","        1 worker in past 12 months","        2 or more workers in past 12 months"
"Alameda County, California!!Total!!Estimate","589,180","230,114","359,066","","289,778","93,977","28,792","65,185","205,425","184,014","135,991","46,046","13,888","32,158","1,977","405,166","153,787","47,931","14,904","33,027","203,448","","58,502","530,678","","121,868","467,312","","218,415","68,172","5,358","182,328","3,447","58,590","52,870","99,043","206,795","","109,729","","383,755","42,136","119,281","222,338"
"Alameda County, California!!Households receiving food stamps/SNAP!!Estimate","58,508","26,096","32,412","","17,617","20,574","4,330","16,244","20,317","23,943","10,574","12,946","2,372","10,574","423","34,565","7,043","7,628","1,958","5,670","19,894","","19,504","39,004","","23,743","34,765","","11,867","13,665","857","15,946","434","8,818","6,921","14,347","10,773","","39,630","","38,191","7,089","14,641","16,461"
"Alameda County, California!!Households not receiving food stamps/SNAP!!Estimate","530,672","204,018","326,654","","272,161","73,403","24,462","48,941","185,108","160,071","125,417","33,100","11,516","21,584","1,554","370,601","146,744","40,303","12,946","27,357","183,554","","38,998","491,674","","98,125","432,547","","206,548","54,507","4,501","166,382","3,013","49,772","45,949","84,696","196,022","","119,787","","345,564","35,047","104,640","205,877"
"Butte County, California!!Total!!Estimate","81,353","33,129","48,224","","33,495","15,516","5,359","10,157","32,342","22,085","12,633","9,170","2,705","6,465","282","59,268","20,862","6,346","2,654","3,692","32,060","","12,412","68,941","","24,851","56,502","","63,319","1,306","992","2,851","N","3,916","8,799","11,389","61,135","","64,738","","49,011","10,751","16,248","22,012"
"Butte County, California!!Households receiving food stamps/SNAP!!Estimate","10,370","4,183","6,187","","2,046","4,403","1,319","3,084","3,921","4,748","1,469","3,228","870","2,358","51","5,622","577","1,175","449","726","3,870","","4,185","6,185","","4,937","5,433","","7,062","305","241","416","N","416","1,930","2,091","6,566","","30,661","","6,449","1,734","3,100","1,615"
"Butte County, California!!Households not receiving food stamps/SNAP!!Estimate","70,983","28,946","42,037","","31,449","11,113","4,040","7,073","28,421","17,337","11,164","5,942","1,835","4,107","231","53,646","20,285","5,171","2,205","2,966","28,190","","8,227","62,756","","19,914","51,069","","56,257","1,001","751","2,435","N","3,500","6,869","9,298","54,569","","71,693","","42,562","9,017","13,148","20,397"
"Contra Costa County, California!!Total!!Estimate","411,560","181,244","230,316","","226,289","72,097","20,097","52,000","113,174","143,828","103,267","39,669","10,403","29,266","892","267,732","123,022","32,428","9,694","22,734","112,282","","37,404","374,156","","105,258","306,302","","208,843","37,579","4,285","70,139","1,728","42,154","46,832","85,995","197,011","","111,080","","298,386","38,479","92,337","167,570"
"Contra Costa County, California!!Households receiving food stamps/SNAP!!Estimate","38,924","14,524","24,400","","13,066","16,785","2,860","13,925","9,073","20,972","9,487","11,176","1,123","10,053","309","17,952","3,579","5,609","1,737","3,872","8,764","","12,938","25,986","","19,945","18,979","","9,842","9,355","360","4,882","114","8,214","6,157","12,974","8,954","","43,650","","29,851","4,278","13,292","12,281"
"Contra Costa County, California!!Households not receiving food stamps/SNAP!!Estimate","372,636","166,720","205,916","","213,223","55,312","17,237","38,075","104,101","122,856","93,780","28,493","9,280","19,213","583","249,780","119,443","26,819","7,957","18,862","103,518","","24,466","348,170","","85,313","287,323","","199,001","28,224","3,925","65,257","1,614","33,940","40,675","73,021","188,057","","119,926","","268,535","34,201","79,045","155,289"
"El Dorado County, California!!Total!!Estimate","74,909","37,576","37,333","","41,585","10,754","3,065","7,689","22,570","21,199","14,610","6,214","1,638","4,576","375","53,710","26,975","4,540","1,427","3,113","22,195","","7,187","67,722","","17,943","56,966","","62,676","N","N","N","N","2,107","5,868","8,553","60,257","","87,491","","52,339","9,898","18,012","24,429"
"El Dorado County, California!!Households receiving food stamps/SNAP!!Estimate","4,581","1,768","2,813","","1,052","2,330","121","2,209","1,199","2,361","461","1,900","121","1,779","0","2,220","591","430","0","430","1,199","","1,563","3,018","","1,619","2,962","","3,551","N","N","N","N","58","790","992","2,894","","32,977","","3,382","158","2,485","739"
"El Dorado County, California!!Households not receiving food stamps/SNAP!!Estimate","70,328","35,808","34,520","","40,533","8,424","2,944","5,480","21,371","18,838","14,149","4,314","1,517","2,797","375","51,490","26,384","4,110","1,427","2,683","20,996","","5,624","64,704","","16,324","54,004","","59,125","N","N","N","N","2,049","5,078","7,561","57,363","","93,265","","48,957","9,740","15,527","23,690"
